Asiya.config

METRIC
SP, 33.38
SR, 134.18
CE, 41.57
ESA, 8.18
GTM, 1.71
LEM, 1.36
METEOR, 47.87
NE, 0.96
NGRAM, 10.05
O, 0.01
PER, 0.19
ROUGE, 3.03
TER, 123.09
WER, 0.61
