Asiya-all.config

METRIC,1,2,4,8,16,32
SP, 297.150404, 286.762715, 286.148191, 297.589272, 325.919686, 387.673762
SR, 3618.042150, 1747.804005, 942.090041, 515.879464, 285.111194, 200.768837
CE, 2.319072, 35.082100, 2.062808, 2.681550, 2.997803, 7.535423
ESA, 38.340705, 14.143593, 9.490993, 7.104624, 7.635713, 9.300206
GTM, 3.248161, 2.915711, 2.603494, 3.125552, 4.098273, 5.761997
LEM, 2.968027, 2.639172, 2.213195, 2.605187, 4.362262, 8.297159
METEOR, 23.165683, 0.455592, , 22.590967, 22.602903, 27.018278
NE, 2.460414, 2.841809, 5.305785, 3.928707, 6.576196, 14.811648
NGRAM, 37.345734, 12.621566, 6.143191, 8.162149, 9.647275, 13.677568
O, 258.656258, X, X, 24.221245, 13.477785, 24.704035
PER, 1.587779, 0.441229, 1.743322, 2.349625, 3.840442, 7.239773
ROUGE, 29.809412, 20.402776, 10.125926, 7.103347, 7.538433, 9.469227
TER, 446.675859, 306.769631, 213.444613, 135.224584, 84.475645, 57.906846
WER, 3.017947, 2.272919, 2.264657, 2.666657, 4.026722, 5.739164
