,1 system,,2 systems,,5 systems,,10 systems,,14 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++,PERL,C++,PERL,C++
SP,"26,7","26,24","36,35","40,18","82,37","85,07","147,46","104,72","203,33","118,96"
SR,"1002,24","747,24","1136,67","796,55","1732,69","1098,17","2526,05","1735,59","2260,71","2098,48"
CE,"26,13","28,06","37,68","37,67","75,05","65,5","147,76","100,63","200,78","142,27"
ESA,"5,89","39,16","11,65","15,26","31,07","37,25","62,35","63,67","108,37","88,14"
GTM,"0,85","1,05","1,7","2,84","4,44","6,76","9,67","12,29","18,91","16,85"
LEM,"0,58","0,87","1,19","1,98","3,08","4,41","6,18","8,67","9,03","13,16"
METEOR,"17,02","18,55","34,38","32,58","85,93","85,94","172,49","171,49","297,76","241,25"
NE,"0,75","0,81","1,52","1,4","3,98","4,84","8,14","9,74","11,48","13,42"
NGRAM,"5,62","6,85","11,59","10,73","32,27","30,48","56,93","60,1","104,5","84,06"
O,"0,13","0,2","0,26","0,28","0,65","1,24","1,17","2,45","1,61","3,53"
PER,"0,1","0,32","0,19","0,4","0,43","1,7","0,9","3,42","1,21","4,75"
ROUGE,"3,3","5,29","6,62","8,14","16,66","31,28","37,57","61,85","47,42","85,55"
TER,"88,82","151,41","171,39","172,23","478,91","465,68","863,41","930,91","1198,3","1303,21"
WER,"0,52","0,66","0,99","1,06","2,51","4,19","5,17","7,4","7,45","11,02"
