,1 system,,2 systems,,5 systems,,10 systems,,14 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++,PERL,C++,PERL,C++
SP,"29,53","34,82","48,17","53,73","107,82","110,78","196,04","140,38","270,45","154,13"
SR,"1402,55","1217,89","2054,18","1385,12","2722,9","1913,16","3178,69","3720,086126","3782,32","4418,58013"
CE,"28,43","27,57","46,94","39,56","96,45","70,86","145,8","104,84","212,51","145,54"
ESA,"10,45","16,17","19,7","21,8","60,2","58,7","106,54","106,49","147,71","182,06"
GTM,"1,4","1,57","2,45","3,11","8,16","7,74","13,78","14,27","16,27","19,91"
LEM,"0,61","1,06","1,25","2,1","3,24","5,02","6,41","9,78","8,12","11,79"
METEOR,"18,43","18,44","38,1","35,53","97,5","90,6","184,31","181,91","264,73","252,83"
NE,"1,91","1,11","2,57","2,35","6,68","6,08","20,8","11,98","17,58","17,63"
NGRAM,"8,79","8,25","17,59","16,56","55,3","42,52","87,69","83,31","149,54","118,13"
O,"0,35","0,4","0,44","0,82","1,09","2,04","3,25","4,15","3,2","5,76"
PER,"0,09","0,39","0,22","0,8","0,51","1,95","1,4","3,98","1,53","5,52"
ROUGE,"9,32","11,09","12,84","23,58","31,57","58,96","99,33","116,73","89,67","166,7"
TER,"125,23","156,16","262,57","263,55","565,92","663,63","1277,58","1381,82","1852,25","2008,63"
WER,"0,95","1,51","1,72","2,54","4,38","6,07","8,23","12,19","12,44","14,25"
